透,一,合,魂,入,他骨,tʰuot˥,,tʰuot˥
透,一,合,魂,入,土骨,tʰuot˥,改邪母，寺骨切,zuot˥
,,,,,,,,
曉,三,合,諄,入,許聿,xʉɨt˥,,xʉɨt˥
曉,三,合,諄,入,況必,xʉɨt˥,改溪母，克必切,kʰʉɨt˥
,,,,,,,,
崇,三,開,臻,入,崱瑟,dʐɨət˥,,dʐɨət˥
崇,三,開,臻,入,仕叱,dʐɨət˥,改俟母，俟叱切,ʐɨət˥
,,,,,,,,
章,三,開,鍾,上,之隴,tɕʉoŋ˨˦ ,,tɕɨoŋ˨˦ 
章,三,開,鍾,上,職勇,tɕʉoŋ˨˦ ,改書母，識勇切,ɕɨoŋ˨˦ 
,,,,,,,,
章,三,開,脂A,上,職雉,tɕi˨˦ ,,tɕi˨˦ 
章,三,開,脂A,上,止姊,tɕi˨˦ ,改昌母，出姊切,tɕʰi˨˦ 
,,,,,,,,
知,三,開,蒸,入,竹力,ʈɨk˥,,ʈɨk˥
知,三,開,蒸,入,丁力,ʈɨk˥,改端母*,tɨk˥
,,,,,,,,
知,三,開,眞B,入,陟栗,ʈɨt˥,,ʈɨt˥
知,三,開,眞B,入,丁悉,ʈɨt˥,改端母*,tɨt˥
,,,,,,,,
知,三,合,諄,入,竹律,ʈʉɨt˥,,ʈʉɨt˥
知,三,合,諄,入,徵筆,ʈʉɨt˥,改端母，倒筆切*,tʉɨt˥
,,,,,,,,
曉,二,開,咸,上,火斬,xʅæm˨˦ ,,xʅæm˨˦ 
曉,二,開,咸,上,呼豏,xʅæm˨˦ ,改疑母，呀豏切,ŋʅæm˨˦
,,,,,,,,
清,一,開,戈,去,千過,tsʰɒ˧˩ ,,tsʰɒ˧˩ 
清,一,開,戈,去,七過,tsʰɒ˧˩ ,改邪母，巳過切 ,zɒ˧˩ 
,,,,,,,,
昌,三,開,尤,平,昌求,tɕʰɨu˧˧,,tɕʰɨu˧˧
昌,三,開,尤,平,赤周,tɕʰɨu˧˧,改船母，示周切,ʑɨu˧˧
,,,,,,,,
精,三,合,支A,平,姊規,tsyɪ˧˧,,tsyɪ˧˧
精,三,合,支A,平,遵爲,tsyɪ˧˧,改去聲,tsyɪ˧˩  
精,三,合,支A,平,子(尊)垂,tsyɪ˧˧,改章母，專垂切,tɕyɪ˧˧
